Feature name,Never heard of it,Heard of it but not used it,Used it and not satisfied,Used it and satisfied 
Custom Highlight: Format text ranges with no additional DOM nodes,33,14,3,3
EditContext: Build text editors to support advanced input methods,36,8,1,5
Async Clipboard: Read from and write to the system clipboard,13,10,10,15
Clipboard unsanitized HTML support: Read raw HTML from the clipboard,29,15,3,4
Clipboard custom formats support: Read and write custom data from the clipboard,21,17,7,4
Clipboard SVG support: Read and write SVG data from the clipboard,27,15,2,5
writingsuggestions HTML attribute: Toggle the browser's AI writing suggestions,36,8,1,2
document.caretPositionFromPoint(): Get the caret position from a point,33,6,3,8
document.elementFromPoint(): Get DOM elements from a point,27,6,2,12
Selection: Control and modify user text selections,9,14,7,17
selection.getComposedRanges: Get user text selections across shadow DOM,39,7,1,1
selectionchange event: Detect user text selection changes,16,12,3,15
Static range: Handle immutable text ranges effectively,34,6,0,5
contenteditable: HTML attribute to make text editable,3,7,13,25
contenteditable=plaintext-only: Edit plain text not rich text,22,13,4,8
